	feynman-bonus.18	feynman-bonus.8	feynman-i.10.7	feynman-i.11.19	feynman-i.12.1	feynman-i.12.11	feynman-i.12.2	feynman-i.12.4	feynman-i.12.5	feynman-i.13.12	feynman-i.13.4	feynman-i.14.3	feynman-i.14.4	feynman-i.15.10	feynman-i.16.6	feynman-i.18.12	feynman-i.18.16	feynman-i.18.4	feynman-i.24.6	feynman-i.25.13	feynman-i.26.2	feynman-i.27.6	feynman-i.29.4	feynman-i.30.5	feynman-i.32.5	feynman-i.34.10	feynman-i.34.27	feynman-i.34.8	feynman-i.38.12	feynman-i.39.10	feynman-i.39.11	feynman-i.43.16	feynman-i.43.31	feynman-i.43.43	feynman-i.47.23	feynman-i.48.2	feynman-i.8.14	feynman-ii.10.9	feynman-ii.11.3	feynman-ii.13.17	feynman-ii.15.4	feynman-ii.15.5	feynman-ii.2.42	feynman-ii.21.32	feynman-ii.27.16	feynman-ii.27.18	feynman-ii.3.24	feynman-ii.34.11	feynman-ii.34.2	feynman-ii.34.29a	feynman-ii.34.29b	feynman-ii.34.2a	feynman-ii.37.1	feynman-ii.38.14	feynman-ii.38.3	feynman-ii.4.23	feynman-ii.6.11	feynman-ii.8.31	feynman-ii.8.7	feynman-iii.12.43	feynman-iii.13.18	feynman-iii.14.14	feynman-iii.15.12	feynman-iii.15.14	feynman-iii.15.27	feynman-iii.17.37	feynman-iii.19.51	feynman-iii.4.32	feynman-iii.7.38	feynman-iii.8.54
gplearn					1.0			1.0	1.0			1.0	1.0			1.0	1.0			1.0	1.0	1.0		1.0								1.0			1.0			1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0	1.0		1.0		1.0					1.0				1.0	
gplearn					6.0			65.0	7.0			11.0	8.0			21.0	80.0			47.0	52.0	55.0		698.0								7.0			143.0			17.0		36.0	75.0	75.0	29.0		10.0	5.0	125.0	115.0			5.0			13.0	33.0	66.0		122.0		35.0					21.0				72.0	
no_constant					1.0			6.0	1.0			0.0	5.0			5.0	32.0			4.0	24.0	4.0		169.0								7.0			7.0			8.0		5.0	22.0	13.0	10.0		4.0	4.0	0.0	14.0			145.0			7.0	6.0	10.0		4.0		2.0					8.0				9.0	
no_constant					0.3333333333333333			1.0	0.3333333333333333			0.0	0.8333333333333334			1.0	1.0			0.8	1.0	0.4		1.0								1.0			0.875			1.0		0.8333333333333334	1.0	1.0	0.9090909090909092		0.8	0.8	0.0	1.0			1.0			0.875	0.8571428571428571	1.0		0.8		0.6666666666666666					0.8888888888888888				1.0	
no_constant					1.0			5.0	1.0			0.0	1.0			5.0	6.0			4.0	11.0	15.0		44.0								7.0			7.0			7.0		5.0	6.0	5.0	10.0		4.0	31.0	5.0	37.0			5.0			0.0	24.0	15.0		4.0		2.0					8.0				12.0	
epoch5_lr6					0.3333333333333333			0.8333333333333334	0.3333333333333333			0.0	0.1666666666666666			1.0	1.0			0.8	1.0	1.0		1.0								1.0			0.875			0.875		0.8333333333333334	1.0	0.8333333333333334	0.9090909090909092		0.8	1.0	0.8333333333333334	1.0			1.0			0.0	1.0	1.0		0.8		0.6666666666666666					0.8888888888888888				1.0	
epoch5_lr6					0.3333333333333333			0.8333333333333334	0.3333333333333333			0.0	0.1666666666666666			1.0	1.0			0.8	1.0	1.0		1.0								1.0			0.875			0.875		0.8333333333333334	1.0	0.8333333333333334	0.9090909090909092		0.8	1.0	0.8333333333333334	1.0			1.0			0.0	1.0	1.0		0.8		0.6666666666666666					0.8888888888888888				1.0	
epoch5_lr6					0.3333333333333333			0.8333333333333334	0.3333333333333333			0.0	0.1666666666666666			1.0	1.0			0.8	1.0	1.0		1.0								1.0			0.875			0.875		0.8333333333333334	1.0	0.8333333333333334	0.9090909090909092		0.8	1.0	0.8333333333333334	1.0			1.0			0.0	1.0	1.0		0.8		0.6666666666666666					0.8888888888888888				1.0	
epoch50_gc01					0.3333333333333333			1.0	0.3333333333333333			0.0	0.8333333333333334			1.0	1.0			1.0	1.0	1.0		1.0								1.0			0.875			0.875		1.0	1.0	1.0	1.0		0.8	0.8	0.0	1.0			1.0			0.875	0.8571428571428571	1.0		0.8		1.0					0.8888888888888888				1.0	
epoch50_gc01					1.0			17.0	1.0			0.0	5.0			5.0	6.0			23.0	22.0	40.0		41.0								48.0			7.0			7.0		49.0	6.0	73.0	19.0		4.0	4.0	0.0	16.0			58.0			7.0	6.0	22.0		4.0		67.0					8.0				33.0	
